n,bubbleSort,heapSort,countingSort,shellSort
1,0.0529696,0.00066001,5.7658e-05,0.000556764
2,0.235675,0.00138478,0.000102517,0.00133095
3,0.538049,0.0022873,0.000224331,0.00209726
4,0.994617,0.00328778,0.000223037,0.00320901
5,1.62712,0.00441623,0.000292908,0.00391034
6,2.26402,0.00485496,0.000340076,0.00505274
7,3.10219,0.00578618,0.000496576,0.00576185
8,4.14011,0.00656167,0.000435792,0.00717713
9,5.35915,0.0078938,0.000516601,0.0077698
10,6.68204,0.00870471,0.00058496,0.00850296
11,7.90797,0.00941348,0.000694822,0.0098316
